task_id,global_sample_id,split,data_origin,domain,dashboard_id,chart_count,chart_types,instruction_type,num_operations,operations,propagation_scope,instruction,code_exists,pred_image_exists,pred_image_status,render_status,render_returncode,code_executability,code_quality,explicit_relation_label_available,overall_score,low_level_edit_accuracy,high_level_score,relation_conditioned_fidelity,multi_chart_relation_accuracy,relation_scope_f1,relation_scope_accuracy,relation_expected_edit_fidelity,relation_nonaffected_preservation,relation_label_visual_coverage,relation_labeled_endpoint_count,visual_structural_similarity,preservation_accuracy,full_ssim,noop_full_ssim,full_ssim_improvement,full_mse,full_mae,edit_visual_score,noop_edit_mse,pred_edit_mse,preserve_mae,preserve_changed_pixel_rate,affected_chart_f1,affected_chart_precision,affected_chart_recall,reference_affected_cells,predicted_affected_cells,matched_affected_cells,affected_region_similarity,reference_affected_chart_ids_json,predicted_affected_chart_ids_json,relation_edge_consistency,relation_edge_action_accuracy,relation_edge_endpoint_accuracy,relation_edge_check_count,relation_node_fidelities_json,relation_metric_applicable,layout_id,canvas_aspect_score,metric_width,metric_height,target_changed_pixel_rate,operation_count,counterfactual_operation_count,scorable_edit_operation_count,counterfactual_coverage,operation_scores_json,charteditor_full_rarm,charteditor_edit_rarm,charteditor_full_layout,charteditor_full_text,charteditor_edit_layout,charteditor_edit_text
synthetic_sample_920915,synthetic/sample_920915,synthetic,synthetic_relation_augmented_qc,hospital_operations,dashboard_aug_0433,5,lollipop;waterfall;candlestick;stacked_bar;dot_plot,complex_relation,5,modify_style;change_axis_label;change_axis_label;change_axis_label;change_axis_label,relation_augmented,"Make the dashboard easier to compare: use dark blue subplot titles with light dashed gridlines, and rename the y-axis to ""Comparable value"" on the related numeric subplots.",1,1,5367x2968,ok,0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5367056047543883,1.0,9,0.0,0.6970150474320586,0.46518098033894484,0.988350970974434,0.0,2986.98681640625,26.242385864257812,0.0,2863.367431640625,6848.267578125,25.80756378173828,0.2600171390586332,1.0,1.0,1.0,5,5,5,0.0,"[""chart_1"", ""chart_2"", ""chart_3"", ""chart_4"", ""chart_5""]","[""chart_1"", ""chart_2"", ""chart_3"", ""chart_4"", ""chart_5""]",0.0,0.0,0.0,10,"{""chart_1"": 0.0, ""chart_2"": 0.0, ""chart_3"": 0.0, ""chart_4"": 0.0, ""chart_5"": 0.0}",1,regular_grid,0.5675913185867476,512,246,0.008662029979674796,5,5,5,1.0,"[{""operation_index"": 1, ""operation"": ""modify_style"", ""score"": 0.0, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.004731961382113821, ""counterfactual_noop_mse"": 409.1448669433594, ""prediction_mse"": 6685.583984375}, {""operation_index"": 2, ""operation"": ""change_axis_label"", ""score"": 0.0, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.0009448043699186992, ""counterfactual_noop_mse"": 6160.0615234375, ""prediction_mse"": 7897.2548828125}, {""operation_index"": 3, ""operation"": ""change_axis_label"", ""score"": 0.0, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.0010003810975609756, ""counterfactual_noop_mse"": 5688.57421875, ""prediction_mse"": 7091.0478515625}, {""operation_index"": 4, ""operation"": ""change_axis_label"", ""score"": 0.0, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.0010162601626016261, ""counterfactual_noop_mse"": 5503.796875, ""prediction_mse"": 6092.66943359375}, {""operation_index"": 5, ""operation"": ""change_axis_label"", ""score"": 0.0, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.0009686229674796748, ""counterfactual_noop_mse"": 5949.09814453125, ""prediction_mse"": 7161.84423828125}]",,,,,,
real_sample_000445,real/sample_000445,real,real,owid,dashboard_0030,2,funnel;gantt,multi_step,3,modify_color;rename_label;add_event_marker,relation_or_scope_aware,"Within the related country or region panels, recolor Guinea to red. In the related country or region panels, replace the label Guinea with Guinea (updated). Mark 1925 with a red vertical line labeled ""Event 1925"" in all time-series panels. Make the scoped edits consistently across the related charts without disturbing the rest of the dashboard.",1,0,missing,failed,1,0.0,0.75,0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,[],,,,,,
real_sample_001023,real/sample_001023,real,real,air_quality_environment,dashboard_0068,3,scatter;strip_plot;dual_axis_line_bar,multi_step,3,add_reference_line;set_y_scale;preserve_unrelated_charts,relation_or_scope_aware,"Add a purple reference line labeled ""Reference mean"" at the mean value in the third subplot. For charts with numeric y-values, display the y-axis on a logarithmic scale. Leave charts outside that scope unchanged.",1,0,missing,failed,1,0.0,0.75,0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,[],,,,,,
synthetic_sample_920967,synthetic/sample_920967,synthetic,synthetic_relation_augmented_qc,agriculture_food,dashboard_aug_0442,2,line;heatmap,complex_relation,3,add_dashboard_title;modify_color;preserve_data_values,relation_augmented,"Add the title ""Agriculture Food Edited Dashboard"" and use red to emphasize North consistently across every subplot where that label appears.",1,1,3447x1435,ok,0,1.0,1.0,1,0.06911795013264865,0.03565188126080945,0.087138141063639,0.0,0.0,0.6666666666666666,0.0,0.0,0.1361972689628601,1.0,1,0.02336302071675596,0.6500063258156434,0.36949707670652987,0.6018661635764468,0.0,4334.09765625,36.87858581542969,0.06963221515714721,9201.4140625,8560.69921875,28.770174026489258,0.3073335477645545,0.6666666666666666,0.5,1.0,1,2,1,0.1928481098121128,"[""chart_1""]","[""chart_1"", ""chart_2""]",0.0,0.0,0.1928481098121128,1,"{""chart_1"": 0.3856962196242256, ""chart_2"": 0.0}",1,regular_grid,0.5592004760064453,512,184,0.20796535326086957,3,2,2,1.0,"[{""operation_index"": 1, ""operation"": ""add_dashboard_title"", ""score"": 0.0713037625216189, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.20774244225543478, ""counterfactual_noop_mse"": 9209.9501953125, ""prediction_mse"": 8553.24609375}, {""operation_index"": 2, ""operation"": ""modify_color"", ""score"": 0.0, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.003916864809782609, ""counterfactual_noop_mse"": 14195.6279296875, ""prediction_mse"": 17532.8125}, {""operation_index"": 3, ""operation"": ""preserve_data_values"", ""score"": 0.6500063258156434, ""visual_source"": ""preservation_region"", ""code_evidence_diagnostic_only"": null}]",,,,,,
real_sample_000823,real/sample_000823,real,real,world_bank,dashboard_0055,3,violin;radar;line,multi_step,3,filter_time_range;add_event_marker;preserve_unrelated_charts,relation_or_scope_aware,"For all time-series panels, restrict the x-axis range to 1980-2011. Mark 1994 with a red vertical line labeled ""Event 1994"" in all time-series panels. Leave charts outside that scope unchanged.",1,0,missing,failed,1,0.0,0.75,0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,[],,,,,,
synthetic_sample_920308,synthetic/sample_920308,synthetic,synthetic_relation_augmented_qc,game_analytics,dashboard_aug_0332,2,waterfall;line,complex_relation,3,add_reference_line;modify_color;preserve_data_values,relation_augmented,"For cross-panel comparison, add a purple Reference mean line to all standard numeric-y subplots and color West red wherever it appears.",1,1,4167x1768,ok,0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4,0.0,0.6149926688695658,0.36566830454621035,0.9653826179131391,0.0,5252.1640625,37.82502365112305,0.0,8332.810546875,13475.640625,36.909915924072266,0.3028458574804934,1.0,1.0,1.0,2,2,2,0.0,"[""chart_1"", ""chart_2""]","[""chart_1"", ""chart_2""]",0.0,0.0,0.0,1,"{""chart_1"": 0.0, ""chart_2"": 0.0}",1,regular_grid,0.51829254511563,512,184,0.016421110733695652,3,2,2,1.0,"[{""operation_index"": 1, ""operation"": ""add_reference_line"", ""score"": 0.0, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.009521484375, ""counterfactual_noop_mse"": 8151.779296875, ""prediction_mse"": 10274.6396484375}, {""operation_index"": 2, ""operation"": ""modify_color"", ""score"": 0.0, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.007472826086956522, ""counterfactual_noop_mse"": 8972.197265625, ""prediction_mse"": 18811.98828125}, {""operation_index"": 3, ""operation"": ""preserve_data_values"", ""score"": 0.6149926688695658, ""visual_source"": ""preservation_region"", ""code_evidence_diagnostic_only"": null}]",,,,,,
real_sample_000217,real/sample_000217,real,real,geophysical_events,dashboard_0015,2,stacked_bar;bubble,multi_step,2,delete_category_or_series;add_dashboard_title,relation_or_scope_aware,"Remove the visible category or series ""volcanic eruption"" from every chart where it is plotted. Add ""Geophysical Events Edited View"" as the main title for the whole dashboard. Keep unrelated chart content unchanged.",1,1,4046x1685,ok,0,1.0,1.0,0,0.1892296943815992,0.160879850359402,0.21242502130885146,,,,,,,,,0.06551582138739814,0.6887556123465712,0.4051904002606925,0.6020120275042182,0.0,4619.99365234375,37.881134033203125,0.29482183170183773,13139.185546875,9265.466796875,31.617223739624023,0.23291235910563013,1.0,1.0,1.0,2,2,2,0.2849697053737775,"[""chart_1"", ""chart_2""]","[""chart_1"", ""chart_2""]",,,,0,"{""chart_1"": 0.3008040260953357, ""chart_2"": 0.26913538465221937}",0,regular_grid,0.3703695720746142,512,166,0.1680511106927711,2,2,2,1.0,"[{""operation_index"": 1, ""operation"": ""delete_category_or_series"", ""score"": 0.14578324426657485, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 0.0, ""changed_pixel_rate"": 0.0842785203313253, ""counterfactual_noop_mse"": 9908.7001953125, ""prediction_mse"": 8464.177734375}, {""operation_index"": 2, ""operation"": ""add_dashboard_title"", ""score"": 0.17597645645222917, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.11902296686746988, ""counterfactual_noop_mse"": 10877.78125, ""prediction_mse"": 8963.5478515625}]",,,,,,
synthetic_sample_920070,synthetic/sample_920070,synthetic,synthetic_relation_augmented_qc,climate_resilience,dashboard_aug_0292,3,line;grouped_bar;stacked_area,complex_relation,3,modify_style;rename_label;preserve_unrelated_charts,relation_augmented,Use a consistent cleaned-up style across the dashboard and rename Central to Central (updated) in all related subplots where it appears.,1,1,3567x2968,ok,0,1.0,1.0,1,0.26898510828040534,0.0972439958948005,0.3614610918726541,0.27176015631245704,0.27176015631245704,1.0,0.3641348479519532,0.1325941874929921,1.0,1.0,6,0.05907949832629622,0.7898334985292718,0.5433931419418145,0.7266542277545777,0.0,2306.864501953125,21.353187561035156,0.17563000423809375,9594.89453125,7909.7431640625,14.826191902160645,0.20095532418478593,1.0,1.0,1.0,3,3,3,0.19977815623033188,"[""chart_1"", ""chart_2"", ""chart_3""]","[""chart_1"", ""chart_2"", ""chart_3""]",0.13319811885321273,0.0,0.19977815623033188,3,"{""chart_1"": 0.4373087043554063, ""chart_2"": 0.0214048497674802, ""chart_3"": 0.14062091456810913}",1,regular_grid,0.5606435584340208,512,369,0.1367822662601626,3,2,2,1.0,"[{""operation_index"": 1, ""operation"": ""modify_style"", ""score"": 0.0, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.00418678014905149, ""counterfactual_noop_mse"": 4620.173828125, ""prediction_mse"": 10507.005859375}, {""operation_index"": 2, ""operation"": ""rename_label"", ""score"": 0.194487991789601, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 1.0, ""changed_pixel_rate"": 0.13472857384823847, ""counterfactual_noop_mse"": 9729.4677734375, ""prediction_mse"": 7837.203125}, {""operation_index"": 3, ""operation"": ""preserve_unrelated_charts"", ""score"": 0.7898334985292718, ""visual_source"": ""preservation_region"", ""code_evidence_diagnostic_only"": null}]",,,,,,
synthetic_sample_920381,synthetic/sample_920381,synthetic,synthetic_relation_augmented_qc,air_quality,dashboard_aug_0344,3,funnel;dot_plot;pie,multi_chart_relation,3,modify_color;preserve_data_values;preserve_unrelated_charts,relation_augmented,"Highlight North in red in the 3 related subplots that show North, but do not change any plotted values or labels in the other subplots.",1,0,missing,failed,1,0.0,0.75,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,1,,,,,,,,,,[],,,,,,
synthetic_sample_920202,synthetic/sample_920202,synthetic,synthetic_relation_augmented_qc,consumer_prices,dashboard_aug_0314,4,candlestick;grouped_bar;area;dual_axis_line_bar,multi_chart_relation,2,delete_category_or_series;preserve_unrelated_charts,relation_augmented,"Remove the shared category or series West from every subplot where it is plotted, while preserving the remaining categories and chart layouts.",1,1,3565x2968,ok,0,1.0,1.0,1,0.42164242314872946,0.3512636643208823,0.45953867790218567,0.5652572300104649,0.5652572300104649,0.6666666666666666,0.5702945002372634,0.5299524135355519,0.6137075871229172,1.0,2,0.11789544171092763,0.6182389536909013,0.39003411266016963,0.8949472292266691,0.0,3351.566650390625,30.492752075195312,0.3512636643208823,14170.0615234375,9192.6337890625,26.898900985717773,0.36524635419792356,0.6666666666666666,0.5,1.0,2,4,2,0.5299524135355519,"[""chart_2"", ""chart_3""]","[""chart_1"", ""chart_2"", ""chart_3"", ""chart_4""]",0.5577013246702671,0.4,0.5758324324587274,5,"{""chart_1"": 0.7460062801837921, ""chart_2"": 0.3426121025695159, ""chart_3"": 0.7172927245015879, ""chart_4"": 0.5432986415031895}",1,regular_grid,0.5593872148189191,512,369,0.11802379742547425,2,1,1,1.0,"[{""operation_index"": 1, ""operation"": ""delete_category_or_series"", ""score"": 0.3512636643208823, ""visual_source"": ""operation_counterfactual"", ""code_evidence_diagnostic_only"": 0.0, ""changed_pixel_rate"": 0.11802379742547425, ""counterfactual_noop_mse"": 14170.0615234375, ""prediction_mse"": 9192.6337890625}, {""operation_index"": 2, ""operation"": ""preserve_unrelated_charts"", ""score"": 0.6182389536909013, ""visual_source"": ""preservation_region"", ""code_evidence_diagnostic_only"": null}]",,,,,,
